DiseaseNo,DiseaseName,DiseaseNameEN,InfoSource,RegisterDate,MainTargetAnimal,CauseClass,TargetsDog,TargetsCat
28,돼지단독,Swine erysipelas,문진산,2007-09-18,돼지,세균,False,False
29,돼지로타바이러스감염증,Porcine rotavirus infection,김병한,2007-09-18,돼지,바이러스,False,False
30,돼지생식기호흡기증후군,Porcine reproductive and respiratory syndrom,배유찬,2007-09-18,돼지,바이러스,False,False
31,돼지수포병,Swine vesicular disease,박종현,2007-09-18,돼지,기타,False,False
32,돼지써코바이러스감염증,PCV-2 infection,양동군,2007-09-18,돼지,바이러스,False,False
33,돼지유행성설사병,Porcine epidemic diarrhea,현방훈,2007-09-18,돼지,바이러스,False,False
34,돼지적리,Swine dysentery,임숙경,2007-09-18,돼지,세균,False,False
35,돼지열병,Classical swine fever,송재영,2007-09-18,돼지,바이러스,False,False
36,돼지파보바이러스감염증,Porcine parvovirus infection,김성희,2007-09-18,돼지,기타,False,False
37,돼지호흡기코로나바이러스감염증,Porcine respiratory coronaviral infection,노인순,2007-09-18,돼지,바이러스,False,False
38,흉막폐렴,Pleuropneumonia of pigs,이희수,2007-09-18,돼지,세균,False,False
39,럼피스킨병,Lumpy skin disease,조인수,2007-09-18,"소,기타 미분류",기타,False,False
40,레오바이러스감염증,Reovirus infection,최강석,2007-09-18,"닭,소,기타 미분류,돼지",기타,False,False
41,렙토스피라병,Leptospirosis,문진산,2007-09-18,소,세균,False,False
42,리스테리아병,Listeriosis,임숙경,2007-09-18,"닭,소,개,너구리,면양,기타 미분류,돼지,야생동물,산양,면양,쥐-랫트",세균,True,False
43,리프트계곡열,Rift valley fever,예정용,2007-09-18,"소,면양,산양,면양",기타,False,False
44,마렉병,Marek's disease,최강석,2007-09-18,닭,기타,False,False
45,닭 마이코플라즈마병,Avian mycoplasmosis,강민수,2007-09-18,닭,기타,False,False
46,마이코플라즈마폐렴,Mycoplasmal pneumonia,이희수,2007-09-18,"소,돼지",세균,False,False
47,말바이러스성동맥염,Equine viral arteritis,예정용,2007-09-18,쥐-랫트,바이러스,False,False
48,말비저,Glanders,박연주,2007-09-18,쥐-랫트,기타,False,False
49,말선역,Strangles,고영준,2007-09-18,쥐-랫트,기타,False,False
50,말전염성빈혈,Equine infectious anemia,예정용,2007-09-18,쥐-랫트,기타,False,False
51,밍크바이러스성장염,Mink viral enteritis,박종현,2007-09-18,밍크,기타,False,False
52,밍크알류샨병,Aleutian disease in mink,차상호,2007-06-12,밍크,기타,False,False
53,보툴리즘,Clostridium botulinum,김종만,2007-09-18,"소,야생조류-기타,돼지",세균,False,False
54,봉입체성간염,Inclusion body hepatitis,강민수,2007-09-18,닭,기타,False,False
55,브루셀라병,Brucellosis,허은정,2007-09-18,"소,개,기타 미분류,돼지,야생동물",세균,True,False
56,부저병,American foulbrood disease,정우석,2007-09-18,벌-꿀벌,기타,False,False
57,블루텅,Bluetongue,예정용,2007-09-18,"소,면양,기타 미분류",바이러스,False,False
58,사슴만성소모성질병,Chronic wasting disease,손현주,2007-09-18,사슴,기타,False,False
59,살모넬라균증,Salmonellosis,이희수,2007-09-18,"소,돼지",세균,False,False
60,선모충증,richinosis,정우석,2007-09-18,"기타 미분류,돼지,쥐-마우스",기생충,False,False
61,소결핵병,Tuberculosis,윤순식,2007-09-18,"소,오소리,고양이,사슴,개,너구리,면양,기타 미분류,돼지,쥐-랫트",세균,True,True
62,소로타바이러스감염증,Bovine rotavirus infection,양동군,2007-09-18,소,바이러스,False,False
63,소바베시아병,Babesiosis,정우석,2007-09-18,소,기생충,False,False
64,소바이러스성설사,Bovine viral diarrhea,권창희,2007-09-18,"소,사슴,면양,산양,면양",기타,False,False
65,소백혈병,Bovine leukemia,윤순식,2007-09-18,소,바이러스,False,False
66,소아데노바이러스감염증,Adenovirus infection,윤소라,2007-09-18,소,기타,False,False
67,소유행열,Bovine ephemeral fever,권창희,2007-09-18,"소,기타 미분류",기타,False,False
68,소전염성비기관염,Infectious bovine rhinotracheitis,임성인,2007-09-18,소,기타,False,False
69,소츄잔병,Chuzan disease,윤소라,2007-09-18,소,기타,False,False
70,소캄필로박터증,Genital Campylobacteriosis,문진산,2007-09-18,소,기생충,False,False
71,소콕시듐증,Coccidiosis,장환,2007-09-18,소,기타,False,False
73,소RS바이러스병,Bovine respiratory syncytial virus infection,임성인,2007-09-18,소,기타,False,False
74,수포성구내염,Vesicular stomatitis,고영준,2007-09-18,"소,면양,기타 미분류,돼지,야생동물,쥐-랫트",바이러스,False,False
75,스피로헤타증,Spirochetosis,최세은,2007-09-18,닭,바이러스,False,False
76,소아까바네병,Akabane disease,양동군,2007-09-18,소,기타,False,False
77,아나플라즈마병,Anaplasmasis,정우석,2007-09-18,"소,사슴",기생충,False,False
78,아이노바이러스감염증,Aino virus infection,양동군,2007-09-18,소,바이러스,False,False
79,아프리카돼지열병,African swine fever,예정용,2007-09-18,"기타 미분류,돼지",바이러스,False,False
80,아프리카마역,African horse sickness,예정용,2007-09-18,"기타 미분류,쥐-랫트",기타,False,False
81,에드워드병,Edwardsiellosis,조성준,2007-11-07,어류,기타,False,False
82,에로모나스증,Aeromonas infection,조성준,2007-09-18,어류,기타,False,False
